,Ad_ID,Campaign_Name,Clicks,Impressions,Cost,Leads,Conversions,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword,ROI,Cost_per_Conversion
43,A1043,Data Analytics Course,145.0,3721.0,180.95,21.0,7.0,0.048,1960.0,2024-11-14,Hyderabad,desktop,data analitics online,9.831721470019342,25.849999999999998
44,A1044,Data Analytics Course,197.0,5783.0,204.46,23.0,6.0,0.04897922998986829,1729.0,2024-11-14,Hyderabad,tablet,data anaytics training,7.456421793993934,34.07666666666667
45,A1045,Data Analytics Course,109.0,4866.0,236.78,27.0,5.0,0.04897922998986829,1585.0,2024-11-14,Hyderabad,mobile,online data analytic,5.693977531886139,47.356
46,A1046,Data Analytics Course,188.0,5857.0,222.98,20.0,4.0,0.048,1303.0,2024-11-14,Hyderabad,desktop,data anaytics training,4.843573414656023,55.745
47,A1047,Data Analytics Course,142.0,5103.0,234.1,24.0,3.0,0.021,1835.0,2024-11-08,Hyderabad,mobile,analytics for data,6.838530542503205,78.03333333333333
48,A1048,Data Analytics Course,168.0,4653.0,240.84,27.0,9.0,0.054,1367.0,2024-11-24,Hyderabad,mobile,online data analytic,4.675967447267896,26.76
49,A1049,Data Analytics Course,110.0,3524.0,248.86,19.0,10.0,0.091,1524.0,2024-11-14,Hyderabad,mobile,learn data analytics,5.123925098448926,24.886000000000003
50,A1050,Data Analytics Course,192.0,5938.0,182.84,26.0,5.0,0.039,1080.0,2024-11-14,Hyderabad,mobile,analytics for data,4.906803762852767,36.568
51,A1051,Data Analytics Course,101.0,3942.0,206.62,16.0,5.0,0.05,1746.0,2024-11-24,Hyderabad,tablet,analytics for data,7.4502952279547,41.324
52,A1052,Data Analytics Course,157.0,3315.0,189.56,15.0,10.0,0.064,1026.0,2024-11-25,Hyderabad,mobile,online data analytic,4.412534289934586,18.956
53,A1053,Data Analytics Course,113.0,4945.0,187.66,15.0,10.0,0.04897922998986829,1564.0,2024-11-14,Hyderabad,tablet,learn data analytics,7.334221464350421,18.766
54,A1054,Data Analytics Course,96.0,3166.0,196.15,29.0,7.0,0.073,1902.0,2024-11-14,Hyderabad,desktop,learn data analytics,8.696660718837624,28.021428571428572
55,A1055,Data Analytics Course,125.0,4223.0,183.68,15.0,6.0,0.04897922998986829,1267.0,2024-11-05,Hyderabad,desktop,data analitics online,5.897865853658536,30.613333333333333
56,A1056,Data Analytics Course,104.0,4798.0,210.1,18.0,3.0,0.04897922998986829,1340.0,2024-11-14,Hyderabad,desktop,analytics for data,5.377915278438839,70.03333333333333
57,A1057,Data Analytics Course,194.0,5655.0,208.58,13.0,6.0,0.031,1692.0,2024-11-16,Hyderabad,mobile,data anaytics training,7.111995397449419,34.763333333333335
58,A1058,Data Analytics Course,144.0,5140.0,219.48,19.0,8.0,0.047,1054.0,2024-11-14,Hyderabad,desktop,data analitics online,3.8022598870056497,27.435
59,A1059,Data Analytics Course,179.0,3025.0,238.81,17.0,3.0,0.017,1505.0,2024-11-11,Hyderabad,mobile,data analitics online,5.302081152380554,79.60333333333334
60,A1060,Data Analytics Course,166.0,5223.0,189.76,18.0,7.0,0.042,1219.0,2024-11-14,Hyderabad,tablet,data analytics course,5.423903878583475,27.108571428571427
61,A1061,Data Analytics Course,166.0,5089.0,215.57,26.0,7.0,0.042,1946.0,2024-11-14,Hyderabad,tablet,analytics for data,8.027230134063181,30.795714285714286
62,A1062,Data Analytics Course,118.0,5016.0,204.31,19.0,9.0,0.045,1833.0,2024-11-14,Hyderabad,desktop,analytics for data,7.971660711663649,22.70111111111111
63,A1063,Data Analytics Course,185.0,3617.0,222.32,24.0,7.0,0.038,1963.0,2024-11-14,Hyderabad,mobile,data analytics course,7.829614969413458,31.759999999999998
64,A1064,Data Analytics Course,116.0,3764.0,232.03,28.0,10.0,0.086,1348.0,2024-11-14,Hyderabad,tablet,data analytics course,4.809593587036159,23.203
65,A1065,Data Analytics Course,99.0,4489.0,183.73,15.0,6.0,0.061,1264.0,2024-11-05,Hyderabad,desktop,online data analytic,5.879660371196866,30.621666666666666
66,A1066,Data Analytics Course,172.0,4441.0,221.18,14.0,8.0,0.047,1771.0,2024-11-14,Hyderabad,mobile,analytics for data,7.007053078940229,27.6475
67,A1067,Data Analytics Course,138.0,5751.0,199.11,26.0,9.0,0.052,1337.0,2024-11-10,Hyderabad,desktop,data analitics online,5.714881221435387,22.123333333333335
68,A1068,Data Analytics Course,84.0,4036.0,234.22,23.0,10.0,0.119,1287.0,2024-11-14,Hyderabad,desktop,learn data analytics,4.494833916830331,23.422
69,A1069,Data Analytics Course,124.0,4942.0,240.59,18.0,3.0,0.024,1922.0,2024-11-16,Hyderabad,desktop,learn data analytics,6.988694459453843,80.19666666666667
70,A1070,Data Analytics Course,122.0,4989.0,215.48,12.0,5.0,0.041,1975.0,2024-11-14,Hyderabad,mobile,data analitics online,8.165583812882867,43.096
71,A1071,Data Analytics Course,180.0,3006.0,228.14,22.0,7.0,0.039,1556.0,2024-11-04,Hyderabad,tablet,learn data analytics,5.820373454896117,32.59142857142857
72,A1072,Data Analytics Course,133.0,3728.0,199.13,11.0,10.0,0.04897922998986829,1505.0,2024-11-09,Hyderabad,desktop,data analitics online,6.557876763923065,19.913
73,A1073,Data Analytics Course,164.0,3734.0,225.39,27.0,8.0,0.04,1728.0,2024-11-14,Hyderabad,tablet,learn data analytics,6.666711034207375,28.17375
74,A1074,Data Analytics Course,150.0,4621.0,246.3,15.0,6.0,0.049,1554.0,2024-11-09,Hyderabad,desktop,data analitics online,5.309378806333739,41.050000000000004
75,A1075,Data Analytics Course,97.0,3212.0,212.55,27.0,10.0,0.103,1994.0,2024-11-14,Hyderabad,desktop,analytics for data,8.381322041872501,21.255000000000003
76,A1076,Data Analytics Course,128.0,4225.0,228.24,30.0,4.0,0.031,1618.0,2024-11-14,Hyderabad,mobile,learn data analytics,6.089029092183666,57.06
77,A1077,Data Analytics Course,99.0,4779.0,233.78,26.0,10.0,0.101,1086.0,2024-11-05,Hyderabad,desktop,online data analytic,3.6453931046282833,23.378
78,A1078,Data Analytics Course,86.0,5352.0,234.05,11.0,5.0,0.058,1364.0,2024-11-09,Hyderabad,tablet,online data analytic,4.827814569536423,46.81
79,A1079,Data Analytics Course,118.0,5405.0,187.28,25.0,7.0,0.058,1836.0,2024-11-05,Hyderabad,tablet,analytics for data,8.8035027765912,26.754285714285714
80,A1080,Data Analytics Course,127.0,5430.0,199.13,14.0,6.0,0.047,1932.0,2024-11-14,Hyderabad,mobile,analytics for data,8.702204589966353,33.18833333333333
81,A1081,Data Analytics Course,83.0,4808.0,241.35,20.0,7.0,0.084,1038.0,2024-11-14,Hyderabad,mobile,learn data analytics,3.300807955251709,34.47857142857143
82,A1082,Data Analytics Course,149.0,3587.0,217.53,23.0,8.0,0.04897922998986829,1505.0,2024-11-14,Hyderabad,mobile,data analitics online,5.918585942168896,27.19125
83,A1083,Data Analytics Course,168.0,4683.0,215.28,30.0,8.0,0.048,1327.0,2024-11-14,Hyderabad,mobile,data analitics online,5.164065403195838,26.91
84,A1084,Data Analytics Course,112.0,5814.0,227.38,11.0,8.0,0.071,1467.0,2024-11-03,Hyderabad,tablet,analytics for data,5.451754771747734,28.4225
85,A1085,Data Analytics Course,123.0,3292.0,233.2,28.0,6.0,0.049,1174.0,2024-11-19,Hyderabad,desktop,data anaytics training,4.034305317324185,38.86666666666667
86,A1086,Data Analytics Course,174.0,4305.0,206.02,20.0,3.0,0.034,1057.0,2024-11-14,Hyderabad,desktop,learn data analytics,4.130569847587613,68.67333333333333
87,A1087,Data Analytics Course,143.0,4368.0,215.57,27.0,7.0,0.049,1199.0,2024-11-14,Hyderabad,tablet,analytics for data,4.561998422786102,30.795714285714286
88,A1088,Data Analytics Course,195.0,5935.0,209.68,23.0,9.0,0.046,1966.0,2024-11-07,Hyderabad,tablet,online data analytic,8.376192293017931,23.297777777777778
89,A1089,Data Analytics Course,176.0,5847.0,241.04,13.0,6.0,0.034,1194.0,2024-11-02,Hyderabad,desktop,online data analytic,3.9535346830401594,40.17333333333333
90,A1090,Data Analytics Course,141.0,4851.0,227.39,28.0,5.0,0.04897922998986829,1821.0,2024-11-14,Hyderabad,desktop,analytics for data,7.008267733849335,45.477999999999994
91,A1091,Data Analytics Course,108.0,4710.0,204.16,19.0,10.0,0.093,1731.0,2024-11-14,Hyderabad,tablet,data analitics online,7.478644200626959,20.416
92,A1092,Data Analytics Course,112.0,3345.0,215.57,11.0,6.0,0.047,1859.0,2024-11-23,Hyderabad,tablet,analytics for data,7.623648930741755,35.928333333333335
93,A1093,Data Analytics Course,138.95699356913184,5903.0,184.41,23.0,9.0,0.04897922998986829,1188.0,2024-11-14,Hyderabad,tablet,online data analytic,5.442166910688141,20.49
94,A1094,Data Analytics Course,145.0,5004.0,216.45,22.0,5.0,0.034,1496.0,2024-11-01,Hyderabad,tablet,data analitics online,5.911526911526912,43.29
95,A1095,Data Analytics Course,183.0,3947.0,197.3,15.0,8.0,0.044,1645.0,2024-11-14,Hyderabad,desktop,data anaytics training,7.3375570197668525,24.6625
96,A1096,Data Analytics Course,113.0,3690.0,229.42,20.0,5.0,0.044,1915.0,2024-11-28,Hyderabad,tablet,learn data analytics,7.347136256647198,45.884
97,A1097,Data Analytics Course,101.0,5943.0,187.32,27.0,6.0,0.059,1614.0,2024-11-15,Hyderabad,tablet,data analitics online,7.616271620755926,31.22
98,A1098,Data Analytics Course,189.0,5357.0,222.5,24.0,3.0,0.05,1839.0,2024-11-25,Hyderabad,tablet,data analytics course,7.265168539325843,74.16666666666667
99,A1099,Data Analytics Course,154.0,3596.0,236.14,30.0,9.0,0.058,1036.0,2024-11-14,Hyderabad,tablet,online data analytic,3.3872279156432628,26.237777777777776
100,A1100,Data Analytics Course,179.0,5162.0,246.76,16.0,5.0,0.05,1052.0,2024-11-29,Hyderabad,desktop,online data analytic,3.263251742583887,49.352
101,A1101,Data Analytics Course,148.0,3747.0,244.41,18.0,8.0,0.054,1092.0,2024-11-14,Hyderabad,tablet,learn data analytics,3.467902295323432,30.55125
102,A1102,Data Analytics Course,177.0,4822.0,197.03,26.0,9.0,0.051,1909.0,2024-11-04,Hyderabad,mobile,online data analytic,8.688879866010252,21.892222222222223
103,A1103,Data Analytics Course,119.0,5800.0,221.36,11.0,8.0,0.04897922998986829,1505.0,2024-11-14,Hyderabad,desktop,analytics for data,5.798879653053848,27.67
104,A1104,Data Analytics Course,89.0,3594.0,215.57,14.0,6.0,0.067,1026.0,2024-11-14,Hyderabad,tablet,data analytics course,3.759474880549242,35.928333333333335
105,A1105,Data Analytics Course,146.0,4765.0,230.22,23.0,5.0,0.034,1944.0,2024-11-14,Hyderabad,tablet,analytics for data,7.444096950742768,46.044
106,A1106,Data Analytics Course,109.0,4128.0,183.65,12.0,5.0,0.04897922998986829,1505.0,2024-11-30,Hyderabad,desktop,data analitics online,7.194936019602504,36.730000000000004
107,A1107,Data Analytics Course,159.0,5127.0,197.16,21.0,4.0,0.025,1867.0,2024-11-03,Hyderabad,tablet,learn data analytics,8.469466423209576,49.29
108,A1108,Data Analytics Course,144.0,5674.0,235.36,12.0,3.0,0.021,1505.0,2024-11-22,Hyderabad,desktop,analytics for data,5.394459551325628,78.45333333333333
109,A1109,Data Analytics Course,122.0,3793.0,237.22,19.0,8.0,0.066,1842.0,2024-11-20,Hyderabad,tablet,online data analytic,6.76494393390102,29.6525
110,A1110,Data Analytics Course,112.0,4315.0,235.33,28.0,9.0,0.08,1116.0,2024-11-14,Hyderabad,mobile,data analytics course,3.7422768027875746,26.14777777777778
111,A1111,Data Analytics Course,174.0,4704.0,192.32,21.0,10.0,0.049,1501.0,2024-11-14,Hyderabad,mobile,learn data analytics,6.804700499168054,19.232
112,A1112,Data Analytics Course,168.0,3349.0,235.6,23.0,9.0,0.054,1894.0,2024-11-09,Hyderabad,mobile,online data analytic,7.039049235993209,26.177777777777777
113,A1113,Data Analytics Course,173.0,3501.0,223.9,28.0,10.0,0.044,1179.0,2024-11-14,Hyderabad,mobile,data analytics course,4.265743635551585,22.39
114,A1114,Data Analytics Course,91.0,4523.280832678712,203.52,20.003918495297807,9.0,0.099,1838.0,2024-11-14,Hyderabad,desktop,data analytics course,8.031053459119496,22.613333333333333
115,A1115,Data Analytics Course,140.0,5405.0,195.69,21.0,8.0,0.04897922998986829,1094.0,2024-11-14,Hyderabad,desktop,data anaytics training,4.590474730441003,24.46125
116,A1116,Data Analytics Course,93.0,3425.0,229.76,26.0,4.0,0.043,1344.0,2024-11-14,Hyderabad,mobile,online data analytic,4.84958217270195,57.44
117,A1117,Data Analytics Course,114.0,5263.0,189.13,23.0,5.0,0.044,1434.0,2024-11-14,Hyderabad,mobile,data analytics course,6.582086395600909,37.826
118,A1118,Data Analytics Course,172.0,3889.0,215.57,21.0,10.0,0.04897922998986829,1766.0,2024-11-16,Hyderabad,tablet,online data analytic,7.1922345409843675,21.557
119,A1119,Data Analytics Course,188.0,3327.0,193.76,24.0,6.0,0.047,1220.0,2024-11-14,Hyderabad,tablet,online data analytic,5.29644921552436,32.29333333333333
120,A1120,Data Analytics Course,117.0,4523.280832678712,214.18,29.0,4.0,0.034,1348.0,2024-11-14,Hyderabad,mobile,learn data analytics,5.293771593986366,53.545
121,A1121,Data Analytics Course,113.0,5471.0,215.57,27.0,9.0,0.038,1123.0,2024-11-23,Hyderabad,mobile,analytics for data,4.209444727930603,23.952222222222222
122,A1122,Data Analytics Course,109.0,3550.0,240.33,14.0,8.0,0.073,1982.0,2024-11-24,Hyderabad,tablet,learn data analytics,7.246993716972496,30.04125
123,A1123,Data Analytics Course,174.0,3178.0,225.67,18.0,10.0,0.057,1140.0,2024-11-14,Hyderabad,desktop,data analitics online,4.0516240528204905,22.567
124,A1124,Data Analytics Course,96.0,4673.0,192.88,24.0,5.0,0.052,1962.0,2024-11-10,Hyderabad,mobile,learn data analytics,9.17212774782248,38.576
125,A1125,Data Analytics Course,110.0,4254.0,187.87,11.0,4.0,0.04897922998986829,1172.0,2024-11-04,Hyderabad,mobile,data anaytics training,5.23835631021451,46.9675
126,A1126,Data Analytics Course,163.0,3658.0,237.63,23.0,7.0,0.043,1699.0,2024-11-23,Hyderabad,tablet,online data analytic,6.149770651853721,33.94714285714286
127,A1127,Data Analytics Course,161.0,5319.0,235.98,13.0,4.0,0.025,1423.0,2024-11-18,Hyderabad,mobile,learn data analytics,5.0301720484786845,58.995
128,A1128,Data Analytics Course,195.0,5278.0,193.49,30.0,7.0,0.047,1456.0,2024-11-14,Hyderabad,mobile,data analytics course,6.524936689234585,27.641428571428573
129,A1129,Data Analytics Course,84.0,3755.0,218.88,14.0,9.0,0.047,1299.0,2024-11-14,Hyderabad,tablet,analytics for data,4.9347587719298245,24.32
130,A1130,Data Analytics Course,113.0,4580.0,194.82,11.0,6.0,0.059,1248.0,2024-11-14,Hyderabad,tablet,data analytics course,5.405913150600555,32.47
131,A1131,Data Analytics Course,117.0,3809.0,225.14,12.0,5.0,0.032,1495.0,2024-11-09,Hyderabad,desktop,data anaytics training,5.640312694323533,45.028
132,A1132,Data Analytics Course,135.0,5118.0,219.99,27.0,6.0,0.044,1089.0,2024-11-20,Hyderabad,mobile,online data analytic,3.9502250102277374,36.665
133,A1133,Data Analytics Course,92.0,5766.0,186.14,28.0,7.0,0.076,1013.0,2024-11-14,Hyderabad,tablet,data anaytics training,4.442140324486946,26.59142857142857
134,A1134,Data Analytics Course,188.0,3934.0,206.21,16.0,9.0,0.048,1505.0,2024-11-14,Hyderabad,desktop,data analytics course,6.298385141360749,22.912222222222223
135,A1135,Data Analytics Course,101.0,4724.0,228.38,13.0,7.0,0.034,1243.0,2024-11-20,Hyderabad,desktop,learn data analytics,4.442683247219547,32.62571428571429
136,A1136,Data Analytics Course,111.0,5895.0,205.25,29.0,4.0,0.036,1693.0,2024-11-04,Hyderabad,mobile,data analytics course,7.248477466504263,51.3125
137,A1137,Data Analytics Course,122.0,4048.0,202.23,28.0,10.0,0.082,1505.0,2024-11-14,Hyderabad,mobile,online data analytic,6.4420214607130495,20.223
138,A1138,Data Analytics Course,99.0,3169.0,237.68,21.0,6.0,0.04897922998986829,1509.0,2024-11-22,Hyderabad,mobile,online data analytic,5.348872433524066,39.61333333333334
139,A1139,Data Analytics Course,154.0,4535.0,229.29,11.0,3.0,0.019,1434.0,2024-11-14,Hyderabad,tablet,data anaytics training,5.254088708622269,76.42999999999999
140,A1140,Data Analytics Course,129.0,3849.0,249.29,22.0,10.0,0.078,1767.0,2024-11-14,Hyderabad,desktop,analytics for data,6.088130290023668,24.929
141,A1141,Data Analytics Course,138.95699356913184,4259.0,182.98,10.0,10.0,0.031,1048.0,2024-11-14,Hyderabad,mobile,analytics for data,4.727401901847196,18.298
142,A1142,Data Analytics Course,143.0,3628.0,215.57,18.0,9.0,0.063,1566.0,2024-11-14,Hyderabad,tablet,data analytics course,6.264461659785685,23.952222222222222
143,A1143,Data Analytics Course,80.0,3269.0,215.57,12.0,4.0,0.05,1753.0,2024-11-14,Hyderabad,desktop,data analitics online,7.131929303706453,53.8925
144,A1144,Data Analytics Course,134.0,3724.0,188.02,26.0,9.0,0.047,1891.0,2024-11-14,Hyderabad,desktop,online data analytic,9.057440697798107,20.891111111111112
145,A1145,Data Analytics Course,174.0,4838.0,242.35,21.0,3.0,0.017,1599.0,2024-11-22,Hyderabad,desktop,data analitics online,5.597895605529194,80.78333333333333
146,A1146,Data Analytics Course,196.0,4524.0,192.01,15.0,8.0,0.041,1048.0,2024-11-13,Hyderabad,desktop,data analytics course,4.458049059944795,24.00125
147,A1147,Data Analytics Course,194.0,4694.0,228.15,17.0,7.0,0.036,1874.0,2024-11-14,Hyderabad,tablet,learn data analytics,7.213894367740521,32.59285714285714
148,A1148,Data Analytics Course,180.0,4326.0,221.67,13.0,6.519002375296912,0.04897922998986829,1427.0,2024-11-14,Hyderabad,tablet,online data analytic,5.437497180493526,34.00366915649481
149,A1149,Data Analytics Course,100.0,4235.0,222.61,10.0,8.0,0.051,1814.0,2024-11-14,Hyderabad,desktop,data anaytics training,7.14878037823997,27.82625
150,A1150,Data Analytics Course,153.0,4367.0,184.51,29.0,9.0,0.059,1507.0,2024-11-13,Hyderabad,mobile,analytics for data,7.16757899300851,20.50111111111111
151,A1151,Data Analytics Course,110.0,3748.0,198.68,24.0,9.0,0.082,1041.0,2024-11-14,Hyderabad,tablet,data anaytics training,4.239581236158647,22.075555555555557
152,A1152,Data Analytics Course,116.0,3901.0,215.57,21.0,4.0,0.034,1483.0,2024-11-13,Hyderabad,tablet,online data analytic,5.879435914088232,53.8925
153,A1153,Data Analytics Course,156.0,3335.0,236.98,29.0,7.0,0.045,1143.0,2024-11-14,Hyderabad,desktop,data analytics course,3.8231918305342223,33.854285714285716
154,A1154,Data Analytics Course,177.0,5671.0,210.74,19.0,6.0,0.058,1172.0,2024-11-14,Hyderabad,tablet,data analytics course,4.561355224447186,35.123333333333335
155,A1155,Data Analytics Course,89.0,3408.0,214.78,25.0,9.0,0.101,1898.0,2024-11-14,Hyderabad,mobile,data analytics course,7.836949436632834,23.864444444444445
156,A1156,Data Analytics Course,155.0,4422.0,183.96,14.0,8.0,0.037,1143.0,2024-11-14,Hyderabad,mobile,analytics for data,5.2133072407045,22.995
157,A1157,Data Analytics Course,123.0,3097.0,190.55,20.0,8.0,0.065,1640.0,2024-11-14,Hyderabad,tablet,data analytics course,7.606664917344529,23.81875
158,A1158,Data Analytics Course,102.0,3621.0,244.82,10.0,5.0,0.049,1375.0,2024-11-14,Hyderabad,mobile,learn data analytics,4.6163712115023285,48.964
159,A1159,Data Analytics Course,150.0,4806.0,244.53,15.0,9.0,0.04897922998986829,1602.0,2024-11-14,Hyderabad,mobile,data analitics online,5.551343393448657,27.17
160,A1160,Data Analytics Course,160.0,4523.280832678712,245.87,11.0,6.0,0.037,1505.0,2024-11-05,Hyderabad,desktop,analytics for data,5.121120917558059,40.97833333333333
161,A1161,Data Analytics Course,143.0,3901.0,191.38,29.0,4.0,0.053,1786.0,2024-11-24,Hyderabad,mobile,learn data analytics,8.332218622635594,47.845
162,A1162,Data Analytics Course,178.0,4673.0,222.46,29.0,6.0,0.051,1219.0,2024-11-14,Hyderabad,tablet,online data analytic,4.479636788636159,37.07666666666667
